!Agilent Technologies,E4990A,MY54101349,A.02.20
!Date: Wed Sep 28 20:28:10 2022

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+3.94280000000e+001, +2.88220457803e-001, +2.78938087523e+000, +5.66179063033e-005, +2.87878966693e-001
+3.96750000000e+001, +2.88266163489e-001, +2.61116702780e+000, +5.26815495602e-005, +2.87966859472e-001
+3.99220000000e+001, +2.87567139771e-001, +2.93179487966e+000, +5.86365638339e-005, +2.87190751225e-001
+4.01720000000e+001, +2.90252499325e-001, +2.73186481436e+000, +5.48080880555e-005, +2.89922633868e-001
+4.04230000000e+001, +2.90044975886e-001, +2.80719381351e+000, +5.59284696172e-005, +2.89696920783e-001
+4.06750000000e+001, +2.90196725886e-001, +1.95230840729e+000, +3.86835949659e-005, +2.90028275474e-001
+4.09290000000e+001, +2.87497443449e-001, +2.60889671534e+000, +5.08870360044e-005, +2.87199456351e-001
+4.11850000000e+001, +2.87376345356e-001, +3.08032352340e+000, +5.96755663783e-005, +2.86961139170e-001
+4.14420000000e+001, +2.87344764172e-001, +2.67108554411e+000, +5.14269246262e-005, +2.87032569877e-001
+4.17010000000e+001, +2.90579890712e-001, +3.39185396144e+000, +6.56145319705e-005, +2.90070867309e-001
+4.19620000000e+001, +2.85738378610e-001, +3.34539302993e+000, +6.32426779398e-005, +2.85251451197e-001
+4.22240000000e+001, +2.89143091964e-001, +2.35843236808e+000, +4.48488928305e-005, +2.88898172617e-001
+4.24870000000e+001, +2.87547463235e-001, +3.14725828026e+000, +5.91377689244e-005, +2.87113762811e-001
+4.27530000000e+001, +2.89172594796e-001, +3.09502553856e+000, +5.81220658243e-005, +2.88750796581e-001
+4.30200000000e+001, +2.87600771471e-001, +3.00121628727e+000, +5.57077752657e-005, +2.87206305020e-001
+4.32890000000e+001, +2.90933004716e-001, +3.28660044900e+000, +6.13227546227e-005, +2.90454493121e-001
+4.35590000000e+001, +2.88227477652e-001, +2.95405817006e+000, +5.42727210483e-005, +2.87844474807e-001
+4.38310000000e+001, +2.89808760744e-001, +2.90396483148e+000, +5.33129884459e-005, +2.89436603923e-001
+4.41050000000e+001, +2.88906904792e-001, +3.37401424642e+000, +6.13569089802e-005, +2.88406120176e-001
+4.43800000000e+001, +2.89518587119e-001, +3.65710041234e+000, +6.62260123538e-005, +2.88929027799e-001
+4.46580000000e+001, +2.88642447174e-001, +3.63308672448e+000, +6.51843174916e-005, +2.88062363094e-001
+4.49360000000e+001, +2.86238938832e-001, +1.93512202011e+000, +3.42339952962e-005, +2.86075697970e-001
+4.52170000000e+001, +2.87006316940e-001, +3.29448024115e+000, +5.80543517831e-005, +2.86531998127e-001
+4.55000000000e+001, +2.90422661183e-001, +3.19353531815e+000, +5.65930934320e-005, +2.89971651103e-001
+4.57840000000e+001, +2.88642791484e-001, +4.12673848947e+000, +7.22064299613e-005, +2.87894429706e-001
+4.60700000000e+001, +2.90213275985e-001, +3.70679441322e+000, +6.48174677787e-005, +2.89606137826e-001
+4.63580000000e+001, +2.88176921461e-001, +3.44545724221e+000, +5.94589303276e-005, +2.87656030539e-001
+4.66470000000e+001, +2.88643847870e-001, +3.18163776609e+000, +5.46592412869e-005, +2.88198933012e-001
+4.69390000000e+001, +2.94657632716e-001, +3.98999651716e+000, +6.95188854338e-005, +2.93943445700e-001
+4.72320000000e+001, +2.90128345859e-001, +3.85917518732e+000, +6.57987115439e-005, +2.89470476449e-001
+4.75270000000e+001, +2.88172253566e-001, +2.70969390998e+000, +4.56212930657e-005, +2.87850045487e-001
+4.78240000000e+001, +2.91019175462e-001, +4.24833387154e+000, +7.17453614248e-005, +2.90219553630e-001
+4.81220000000e+001, +2.87882029368e-001, +3.57064862949e+000, +5.92972224923e-005, +2.87323182316e-001
+4.84230000000e+001, +2.86596721162e-001, +4.16845659328e+000, +6.84713857302e-005, +2.85838571485e-001
+4.87250000000e+001, +2.87565402141e-001, +4.38632546895e+000, +7.18387616271e-005, +2.86723132862e-001
+4.90300000000e+001, +2.87351994472e-001, +3.94587571183e+000, +6.41874124454e-005, +2.86670826685e-001
+4.93360000000e+001, +2.89826188647e-001, +3.14053797333e+000, +5.12221434924e-005, +2.89390915650e-001
+4.96440000000e+001, +2.89518854916e-001, +3.25518432407e+000, +5.27047198763e-005, +2.89051726871e-001
+4.99540000000e+001, +2.87334107466e-001, +3.61524564992e+000, +5.77250084477e-005, +2.86762308388e-001
+5.02660000000e+001, +2.86194902485e-001, +3.72161026141e+000, +5.88180371988e-005, +2.85591376858e-001
+5.05800000000e+001, +2.87821563236e-001, +3.55195305194e+000, +5.61088032121e-005, +2.87268667288e-001
+5.08960000000e+001, +2.89797326933e-001, +3.40306923818e+000, +5.37927357383e-005, +2.89286312686e-001
+5.12140000000e+001, +2.90007901629e-001, +4.11253999097e+000, +6.46332195262e-005, +2.89261163419e-001
+5.15340000000e+001, +2.88983954245e-001, +3.93747577882e+000, +6.12848851188e-005, +2.88301830241e-001
+5.18560000000e+001, +2.87507474852e-001, +3.95055790148e+000, +6.07941634660e-005, +2.86824320754e-001
+5.21800000000e+001, +2.91413751653e-001, +4.45183123098e+000, +6.89930090721e-005, +2.90534539540e-001
