!Agilent Technologies,E4990A,MY54101349,A.02.20
!Date: Tue Sep 20 23:58:16 2022

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+6.57000000000e+001, +2.24325716868e+001, +5.72666410986e+001, +4.57120898273e-002, +1.21299684258e+001
+6.61110000000e+001, +2.25220496180e+001, +5.73731748792e+001, +4.56635407758e-002, +1.21431042817e+001
+6.65240000000e+001, +2.26021195822e+001, +5.74703752409e+001, +4.55907776417e-002, +1.21539645994e+001
+6.69390000000e+001, +2.26631187221e+001, +5.75315369691e+001, +4.54613129085e-002, +1.21663622317e+001
+6.73570000000e+001, +2.27479549621e+001, +5.76885120079e+001, +4.54271984812e-002, +1.21592782063e+001
+6.77780000000e+001, +2.28431776267e+001, +5.76926461113e+001, +4.53360746790e-002, +1.22087837651e+001
+6.82010000000e+001, +2.29159530291e+001, +5.78463299831e+001, +4.52749286654e-002, +1.21956836902e+001
+6.86270000000e+001, +2.30040308713e+001, +5.78407752116e+001, +4.51640678750e-002, +1.22444460998e+001
+6.90560000000e+001, +2.30708728365e+001, +5.78878236435e+001, +4.50371342706e-002, +1.22639821854e+001
+6.94870000000e+001, +2.31613198134e+001, +5.79928501278e+001, +4.49848717780e-002, +1.22760805496e+001
+6.99210000000e+001, +2.32349376303e+001, +5.81292901043e+001, +4.49143720864e-002, +1.22681461409e+001
+7.03580000000e+001, +2.33171456095e+001, +5.82273793580e+001, +4.48409425396e-002, +1.22776338261e+001
+7.07980000000e+001, +2.34076641161e+001, +5.82917137259e+001, +4.47663384234e-002, +1.23029440170e+001
+7.12400000000e+001, +2.35063464859e+001, +5.83995660304e+001, +4.47280239418e-002, +1.23171459021e+001
+7.16850000000e+001, +2.35407583719e+001, +5.85352028130e+001, +4.45801454276e-002, +1.22876779291e+001
+7.21330000000e+001, +2.36130937984e+001, +5.86843786421e+001, +4.45100575812e-002, +1.22729540443e+001
+7.25830000000e+001, +2.37448957404e+001, +5.86335519077e+001, +4.44569834760e-002, +1.23594488113e+001
+7.30370000000e+001, +2.38310090687e+001, +5.87472848089e+001, +4.43944311357e-002, +1.23638556821e+001
+7.34930000000e+001, +2.38781016544e+001, +5.88950815773e+001, +4.42752182785e-002, +1.23355904311e+001
+7.39520000000e+001, +2.39987841992e+001, +5.89204494121e+001, +4.42346061430e-002, +1.23888368353e+001
+7.44140000000e+001, +2.40926098439e+001, +5.89623263101e+001, +4.41512713815e-002, +1.24221876220e+001
