!Agilent Technologies,E4990A,MY54101349,A.02.20
!Date: Wed Sep 21 01:14:12 2022

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+7.25830000000e+001, +2.80439363914e+001, +7.72803988778e+001, +5.99837114246e-002, +6.17471183572e+000
+7.30370000000e+001, +2.81904766711e+001, +7.73510091131e+001, +5.99389637082e-002, +6.17308352765e+000
+7.34930000000e+001, +2.83377413262e+001, +7.73847176163e+001, +5.98861309580e-002, +6.18906296105e+000
+7.39520000000e+001, +2.84760561001e+001, +7.74389229517e+001, +5.98175563017e-002, +6.19297888852e+000
+7.44140000000e+001, +2.86203374271e+001, +7.75075823302e+001, +5.97632878528e-002, +6.19087698966e+000
+7.48790000000e+001, +2.87604513184e+001, +7.75706666006e+001, +5.96974401251e-002, +6.19026495551e+000
+7.53460000000e+001, +2.88819671871e+001, +7.76696666723e+001, +5.96006954806e-002, +6.16767536491e+000
+7.58170000000e+001, +2.90320475434e+001, +7.77143420819e+001, +5.95483473142e-002, +6.17760772126e+000
+7.62910000000e+001, +2.91725420452e+001, +7.78283032258e+001, +5.94903911173e-002, +6.15079542984e+000
+7.67670000000e+001, +2.93255920010e+001, +7.78718529440e+001, +5.94414157571e-002, +6.16127409963e+000
+7.72470000000e+001, +2.94536093038e+001, +7.79687262685e+001, +5.93514004587e-002, +6.13947413596e+000
+7.77290000000e+001, +2.96059041405e+001, +7.80105764322e+001, +5.92975576926e-002, +6.15006784845e+000
+7.82150000000e+001, +2.97589103637e+001, +7.81028167306e+001, +5.92538295511e-002, +6.13498031900e+000
+7.87030000000e+001, +2.99060757342e+001, +7.81784490419e+001, +5.91940391035e-002, +6.12668499295e+000
+7.91950000000e+001, +3.00418527796e+001, +7.82509763863e+001, +5.91089826709e-002, +6.11727428637e+000
+7.96900000000e+001, +3.01799449684e+001, +7.83283298009e+001, +5.90283555247e-002, +6.10549629006e+000
+8.01870000000e+001, +3.03469530709e+001, +7.84187250418e+001, +5.90062714798e-002, +6.09238668151e+000
+8.06880000000e+001, +3.05082627456e+001, +7.84820491461e+001, +5.89649127909e-002, +6.09173542680e+000
+8.11920000000e+001, +3.06608835828e+001, +7.85654267179e+001, +5.89094363557e-002, +6.07848390591e+000
